file_name,route_name,route_distance_m,avg_elevation_gain_per_km,center_coordinates
Black Canyon Ultras 100KM - 2025.gpx,Black Canyon Ultras 100km - 2025,101270.27693255534,16.034862836224548,[  34.10715917 -112.16814242]
Black Canyon Ultras 50KM - 2025.gpx,Black Canyon Ultras 50km - 2025,52153.41790209957,12.02366067698809,[  34.21035975 -112.16517635]
Bocaina Park Trail 18 Km - 2024.gpx,Bocaina Park Trail 2024 - 18 Km,18732.860320336582,45.371448111279584,[-19.72119842 -46.80936592]
Bocaina Park Trail 28Km - 2024.gpx,Bocaina Park Trail 2024 - 27Km,27821.882089340812,45.14701758732678,[-19.72419824 -46.79622593]
Bocaina Park Trail 45Km NOVO - 2024.gpx,Bocaina Park Trail 2024 - 45Km,45572.546132932475,44.24099970449171,[-19.72772115 -46.77763812]
Bocaina Park Trail 8Km - 2024.gpx,Bocaina Park Trail 2024 - 8Km,8580.817075053516,47.45072601346191,[-19.71813842 -46.80736   ]
Swiss Canyon Trail 2025 111K.gpx,Swiss Canyon 111 2025,114367.49392823549,44.800754580500985,[46.88018802  6.57312551]
Swiss Canyon Trail 2025 166K.gpx,Swiss Canyon Trail 166K 2025 final,167708.4891850334,47.44506341599804,[46.87477255  6.58762274]
Swiss Canyon Trail 2025 16K.gpx,Swiss_Canyon_2025_K16,17232.662981556252,32.11052913586545,[46.92069428  6.64761807]
Swiss Canyon Trail 2025 31K.gpx,Swiss_Canyon_2025_K31,33002.913592545345,39.86253885881979,[46.90486333  6.61827269]
Swiss Canyon Trail 2025 51K.gpx,Swiss_Canyon_2025_K51,53345.12759265265,46.575203064819235,[46.91585913  6.65214818]
Swiss Canyon Trail 2025 81K.gpx,Swiss Canyon 81_2025,84020.05011012207,42.91987492006349,[46.90296925  6.5964774 ]
cambotas-cocais-11-2024.gpx,Cambotas Trail Fest 2024 - 11km,11188.007659299183,45.79903907860725,[-19.87696769 -43.47336364]
cambotas-cocais-17-2024.gpx,Cambotas Trail Fest 2024 - 17km,16979.093543100098,51.81666487475889,[-19.88131788 -43.48102747]
cambotas-cocais-27-2024.gpx,Cambotas Trail Fest 2024 - 27km,26990.645039218238,51.2140409386836,[-19.88738944 -43.49109115]
cambotas-cocais-45-2024.gpx,Cambotas Trail Fest 2024 - 45km,44352.36117593019,50.38063229906804,[-19.87153947 -43.50356389]
caminhosdecaravaggio-gramado-100-2024.gpx,Ultramaratona Caminhos de Caravaggio 2024 - UMCC 100K,107927.87476629546,30.268362154576412,[-29.2876083 -50.9522214]
caminhosdecaravaggio-gramado-217-2024.gpx,Ultramaratona Caminhos de Caravaggio 2024 - UMCC 217K,217062.50507920567,28.953872054994925,[-29.29205071 -51.07018622]
caminhosdecaravaggio-gramado-50-2024.gpx,Ultramaratona Caminhos de Caravaggio 2024 - UMCC 50K,57745.23422398378,28.70713093950004,[-29.28535797 -50.87809866]
ccc-100km-2019.gpx,CCC 2019 - UTMB,98825.4030290588,61.76245998415271,[45.94961278  7.00821319]
desafio-lptr-loucos-por-trail-run-2025-light-trail.gpx,Desafio LPTR - Loucos Por Trail Run 2025 - Light Trail,17712.258982197152,67.74968688105447,[-22.89046259 -45.64955266]
desafio-lptr-loucos-por-trail-run-2025-medium-trail.gpx,Desafio LPTR - Loucos Por Trail Run 2025 - Medium Trail,23697.058488441413,69.23222140841776,[-22.88461523 -45.65373919]
desafio-lptr-loucos-por-trail-run-2025-short-trail.gpx,Desafio LPTR - Loucos Por Trail Run 2025 - Short Trail,4747.344103726519,64.4992217352946,[-22.89362166 -45.64074537]
